State,StateFIPS,CountyFIPS,AreaName,income_001,incomeA_001,incomeB_001,incomeC_001,incomeD_001,incomeE_001,incomeF_001,incomeG_001,incomeH_001,incomeI_001
ND,38,037,"Grant County, North Dakota",44559,45000,.,42917,.,.,.,.,44879,.
ND,38,039,"Griggs County, North Dakota",48355,50956,.,.,.,.,.,.,50956,.
ND,38,041,"Hettinger County, North Dakota",52169,52243,.,.,.,.,.,.,51287,.
ND,38,043,"Kidder County, North Dakota",54559,54804,.,.,.,.,.,.,57902,38050
ND,38,045,"LaMoure County, North Dakota",54821,55347,.,.,.,.,.,.,55139,.
ND,38,047,"Logan County, North Dakota",51458,51042,.,.,.,.,.,.,51146,NA
ND,38,049,"McHenry County, North Dakota",57386,57799,.,NA,.,.,.,65417,58342,27000
ND,38,051,"McIntosh County, North Dakota",42277,43333,.,.,.,.,.,2499,43438,.
ND,38,053,"McKenzie County, North Dakota",72794,82838,NA,32500,.,.,NA,57143,83446,NA
ND,38,055,"McLean County, North Dakota",55686,56065,.,47750,.,.,113438,56875,56343,NA
ND,38,057,"Mercer County, North Dakota",72704,73260,.,38889,43750,.,.,37083,72806,92125
ND,38,059,"Morton County, North Dakota",62418,63120,30903,63333,NA,.,56223,NA,62896,56827
ND,38,061,"Mountrail County, North Dakota",68188,71691,.,51193,NA,.,.,69167,71656,68380
ND,38,063,"Nelson County, North Dakota",51085,50991,.,32361,.,.,.,.,50542,.
ND,38,065,"Oliver County, North Dakota",60278,60139,.,66458,.,.,.,.,60139,.
ND,38,067,"Pembina County, North Dakota",53504,54531,.,25625,.,.,31500,61161,54509,38250
ND,38,069,"Pierce County, North Dakota",42563,42750,.,.,.,.,.,.,41972,.
ND,38,071,"Ramsey County, North Dakota",50841,51556,.,41016,.,.,.,NA,51224,66121
ND,38,073,"Ransom County, North Dakota",56500,56446,.,31339,.,.,.,54583,56589,.
ND,38,075,"Renville County, North Dakota",65125,66063,.,.,NA,.,.,.,66313,.
ND,38,077,"Richland County, North Dakota",55390,56304,.,NA,.,.,45350,NA,56411,39028
ND,38,079,"Rolette County, North Dakota",33277,45903,.,27191,.,.,.,25417,45903,.
ND,38,081,"Sargent County, North Dakota",57125,57042,.,.,.,.,.,81250,56958,56429
ND,38,083,"Sheridan County, North Dakota",48102,48287,.,.,.,.,.,.,48287,.
ND,38,085,"Sioux County, North Dakota",38068,59375,.,33672,.,.,.,40625,59375,45000
ND,38,087,"Slope County, North Dakota",55000,57031,.,.,.,.,.,.,57031,.
ND,38,089,"Stark County, North Dakota",72099,73907,29525,47955,2499,.,61786,31345,75056,60633
ND,38,091,"Steele County, North Dakota",55833,55833,.,.,.,.,.,.,55903,.
ND,38,093,"Stutsman County, North Dakota",52359,52685,.,NA,NA,.,.,44750,52724,65688
ND,38,095,"Towner County, North Dakota",56625,62083,.,NA,.,.,.,42083,62262,.
ND,38,097,"Traill County, North Dakota",54960,56155,NA,21477,.,.,2499,48125,56060,NA
ND,38,099,"Walsh County, North Dakota",49411,49766,.,25625,.,.,38750,28819,50324,36681
ND,38,101,"Ward County, North Dakota",61393,61980,61863,21612,NA,.,NA,50682,62265,41606
ND,38,103,"Wells County, North Dakota",48098,48424,.,.,.,.,.,38929,48723,.
ND,38,105,"Williams County, North Dakota",88013,90664,19520,57904,.,.,39093,NA,91287,39151
NE,31,001,"Adams County, Nebraska",50635,50924,35096,43906,NA,.,NA,11250,50877,52250
NE,31,003,"Antelope County, Nebraska",45609,45365,.,.,.,.,46250,74375,45399,NA
NE,31,005,"Arthur County, Nebraska",39375,40000,.,.,.,.,.,.,40000,.
NE,31,007,"Banner County, Nebraska",48897,49118,.,.,.,.,.,.,49632,.
NE,31,009,"Blaine County, Nebraska",48875,49375,.,.,.,.,.,.,49375,.
NE,31,011,"Boone County, Nebraska",50306,50332,.,.,.,.,.,.,50306,57500
NE,31,013,"Box Butte County, Nebraska",51691,51967,.,21765,.,.,.,NA,52574,39216
NE,31,015,"Boyd County, Nebraska",40224,40353,.,53750,.,.,.,.,40353,.
NE,31,017,"Brown County, Nebraska",36078,36250,.,.,.,.,.,NA,36121,NA
NE,31,019,"Buffalo County, Nebraska",53624,55005,21652,NA,16189,.,49344,43077,55717,43438
NE,31,021,"Burt County, Nebraska",47429,47931,.,NA,.,.,.,38750,48254,32917
NE,31,023,"Butler County, Nebraska",51027,51498,.,.,.,.,43897,NA,51609,43661
NE,31,025,"Cass County, Nebraska",65619,65818,.,70357,NA,.,NA,64861,65808,80875
NE,31,027,"Cedar County, Nebraska",52250,52500,.,NA,.,.,.,NA,52893,25313
NE,31,029,"Chase County, Nebraska",52422,53365,.,.,.,.,.,.,55590,28824
